Periodic Table (#)

ANo. Name                 Abr    Mass
---- -------------------- --- -------
   1 Hydrogen             H   1.01
   2 Helium               He  4.00
   3 Lithium              Li  6.94
   4 Beryllium            Be  9.01
   5 Boron                B   10.81
   6 Carbon               C   12.01
   7 Nitrogen             N   14.01
   8 Oxygen               O   16.00
   9 Fluorine             F   19.00
  10 Neon                 Ne  20.18
  11 Sodium               Na  22.99
  12 Magnesium            Mg  24.31
  13 Aluminum             Al  26.98
  14 Silicon              Si  28.09
  15 Phosphorus           P   30.97
  16 Sulfur               S   32.06
  17 Chlorine             Cl  35.45
  18 Argon                Ar  39.95
  19 Potassium            K   39.10
  20 Calcium              Ca  40.08
  21 Scandium             Sc  44.96
  22 Titanium             Ti  47.87
  23 Vanadium             V   50.94
  24 Chromium             Cr  52.00
  25 Manganese            Mn  54.94
  26 Iron                 Fe  55.85
  27 Cobalt               Co  58.93
  28 Nickel               Ni  58.69
  29 Copper               Cu  63.55
  30 Zinc                 Zn  65.38
  31 Gallium              Ga  69.72
  32 Germanium            Ge  72.64
  33 Arsenic              As  74.92
  34 Selenium             Se  78.96
  35 Bromine              Br  79.90
  36 Krypton              Kr  83.80
  37 Rubidium             Rb  85.47
  38 Strontium            Sr  87.62
  39 Yttrium              Y   88.91
  40 Zirconium            Zr  91.22
  41 Niobium              Nb  92.91
  42 Molybdenum           Mo  95.96
  43 Technetium           Tc  98.00
  44 Ruthenium            Ru  101.07
  45 Rhodium              Rh  102.91
  46 Palladium            Pd  106.42
  47 Silver               Ag  107.87
  48 Cadmium              Cd  112.41
  49 Indium               In  114.82
  50 Tin                  Sn  118.71
  51 Antimony             Sb  121.76
  52 Tellurium            Te  127.60
  53 Iodine               I   126.90
  54 Xenon                Xe  131.29
  55 Cesium               Cs  132.91
  56 Barium               Ba  137.33
  57 Lanthanum            La  138.91
  58 Cerium               Ce  140.12
  59 Praseodymium         Pr  140.91
  60 Neodymium            Nd  144.24
  61 Promethium           Pm  145.00
  62 Samarium             Sm  150.36
  63 Europium             Eu  151.96
  64 Gadolinium           Gd  157.25
  65 Terbium              Tb  158.93
  66 Dysprosium           Dy  162.50
  67 Holmium              Ho  164.93
  68 Erbium               Er  167.26
  69 Thulium              Tm  168.93
  70 Ytterbium            Yb  173.05
  71 Lutetium             Lu  174.97
  72 Hafnium              Hf  178.49
  73 Tantalum             Ta  180.95
  74 Tungsten             W   183.84
  75 Rhenium              Re  186.21
  76 Osmium               Os  190.23
  77 Iridium              Ir  192.22
  78 Platinum             Pt  195.08
  79 Gold                 Au  196.97
  80 Mercury              Hg  200.59
  81 Thallium             Tl  204.38
  82 Lead                 Pb  207.20
  83 Bismuth              Bi  208.98
  84 Polonium             Po  209.00
  85 Astatine             At  210.00
  86 Radon                Rn  222.00
  87 Francium             Fr  223.00
  88 Radium               Ra  226.00
  89 Actinium             Ac  227.00
  90 Thorium              Th  232.04
  91 Protactinium         Pa  231.04
  92 Uranium              U   238.03
  93 Neptunium            Np  237.00
  94 Plutonium            Pu  244.00
  95 Americium            Am  243.00
  96 Curium               Cm  247.00
  97 Berkelium            Bk  247.00
  98 Californium          Cf  251.00
  99 Einsteinium          Es  252.00
 100 Fermium              Fm  257.00
 101 Mendelevium          Md  258.00
 102 Nobelium             No  259.00
 103 Lawrencium           Lr  262.00
 104 Rutherfordium        Rf  267.00
 105 Dubnium              Db  268.00
 106 Seaborgium           Sg  271.00
 107 Bohrium              Bh  272.00
 108 Hassium              Hs  270.00
 109 Meitnerium           Mt  276.00
 110 Darmstadtium         Ds  281.00
 111 Roentgenium          Rg  280.00
 112 Copernicium          Cn  285.00
 113 Ununtrium            Uut 284.00
 114 Ununquadium          Uuq 289.00
 115 Ununpentium          Uup 288.00
 116 Ununhexium           Uuh 293.00
 117 Ununseptium          Uus 294.00
 118 Ununoctium           Uuo 294.00

The average mass:             146.44
